"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"perfekt.raw","1","RAW","perfekt","4.14","4.41","full=1004x1004x1004"
"perfekt.raw","2","RAW","perfekt","4.18","4.43","full=1004x1004x1004"
"perfekt.raw","3","RAW","perfekt","3.9","4.15","full=1004x1004x1004"
"perfekt.raw","4","RAW","perfekt","3.23","3.49","full=1004x1004x1004"
"perfekt.raw","5","RAW","perfekt","2.52","2.78","full=1004x1004x1004"
