"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"perfekt.raw","1","RAW","perfekt","4.07","4.45","full=1004x1004x1004"
"perfekt.raw","2","RAW","perfekt","4.37","4.76","full=1004x1004x1004"
"perfekt.raw","3","RAW","perfekt","4.44","4.83","full=1004x1004x1004"
"perfekt.raw","4","RAW","perfekt","5.56","5.96","full=1004x1004x1004"
"perfekt.raw","5","RAW","perfekt","4.55","4.93","full=1004x1004x1004"
