"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"perfekt.raw","1","RAW","perfekt","5.04","5.35","full=1004x1004x1004"
"perfekt.raw","2","RAW","perfekt","4.06","4.33","full=1004x1004x1004"
"perfekt.raw","3","RAW","perfekt","4.12","4.43","full=1004x1004x1004"
