"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"perfekt.raw","1","RAW","perfekt","4.45","4.85","full=1004x1004x1004"
"perfekt.raw","2","RAW","perfekt","4.55","5.04","full=1004x1004x1004"
"perfekt.raw","3","RAW","perfekt","4.59","5.05","full=1004x1004x1004"
"perfekt.raw","4","RAW","perfekt","4.43","4.95","full=1004x1004x1004"
"perfekt.raw","5","RAW","perfekt","5.07","5.45","full=1004x1004x1004"
