"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"iguana.nii","1","NIfTI","iguana.nii","5.27","5.4","full=380x535x308"
"iguana.nii","2","NIfTI","iguana.nii","5.03","5.18","full=380x535x308"
"iguana.nii","3","NIfTI","iguana.nii","4.99","5.13","full=380x535x308"
"iguana.nii","4","NIfTI","iguana.nii","5.38","5.49","full=380x535x308"
"iguana.nii","5","NIfTI","iguana.nii","5","5.08","full=380x535x308"
