"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"perfekt.raw","1","RAW","perfekt","1.48","1.76","full=1004x1004x1004"
"perfekt.raw","2","RAW","perfekt","0.94","1.19","full=1004x1004x1004"
"perfekt.raw","3","RAW","perfekt","1","1.24","full=1004x1004x1004"
"perfekt.raw","4","RAW","perfekt","0.91","1.14","full=1004x1004x1004"
"perfekt.raw","5","RAW","perfekt","0.83","1.06","full=1004x1004x1004"
