"dataset","run","format","name","preview_seconds","final_seconds","final_details"
"50kv.tif","1","TIFF","50kv.tif","6.68","6.89","full=858x682x201"
"50kv.tif","2","TIFF","50kv.tif","6.8","6.93","full=858x682x201"
"50kv.tif","3","TIFF","50kv.tif","6.02","6.12","full=858x682x201"
"50kv.tif","4","TIFF","50kv.tif","5.83","5.96","full=858x682x201"
"50kv.tif","5","TIFF","50kv.tif","6.28","6.39","full=858x682x201"
